Implementation,LUTs,FFs,Logic Levels,LL-1,LL+1,High Fanout,HF-1,HF+1,Cumulative Fanout,CF-1,CF+1,Routes,Routes-1,Routes+1,Requirement,Req-1,Req+1,Path Delay,PD-1,PD+1,Slack,Slack-1,Slack+1,Logic Delay,LD-1,LD+1,Net Delay,ND-1,ND+1
../syn/I016_O016_D003_IORET-freq80retfan16,6096,1166,36,6,1,16,20,1,225,58,2,36,6,1,12.500,12.500,12.500,15.090,4.968,0.470,-2.593,7.400,11.789,4.064(27%),1.011(21%),0.135(29%),11.026(73%),3.957(79%),0.335(71%)
../syn/I016_O016_D003_SHORTSR-freq160retfan10000,5688,1203,23,0,21,25,3,31,157,3,171,23,1,21,6.250,6.250,6.250,9.524,0.957,9.242,-3.258,5.103,-3.255,2.813(30%),0.093(10%),2.499(28%),6.711(70%),0.864(90%),6.743(72%)
../syn/I016_O016_D003_SHORTSR-freq320retfan10000,5980,1317,23,0,23,24,3,47,173,3,236,23,1,23,3.125,3.125,3.125,9.765,0.295,9.008,-6.553,2.782,-6.304,2.907(30%),0.095(33%),2.909(33%),6.858(70%),0.200(67%),6.099(67%)
../syn/I016_O016_D003_SHORTSR-freq40retfan10000,4633,0,58,0,0,48,1,1,787,1,1,59,1,0,25.000,25.000,25.000,24.563,0.912,0.558,0.292,24.026,24.347,6.062(25%),0.093(11%),0.488(88%),18.501(75%),0.819(89%),0.070(12%)
../syn/I016_O016_D003_SHORTSR-freq40retfan16,5176,0,57,0,0,31,1,1,376,1,1,58,1,0,25.000,25.000,25.000,24.578,0.572,0.558,0.227,24.310,24.353,6.484(27%),0.093(17%),0.488(88%),18.094(73%),0.479(83%),0.070(12%)
../syn/I016_O016_D003_SHORTSR-freq80retfan10000,5198,678,29,0,0,39,1,1,297,1,1,30,1,0,12.500,12.500,12.500,12.282,1.491,0.565,0.082,10.910,11.852,3.177(26%),0.096(7%),0.488(87%),9.105(74%),1.395(93%),0.077(13%)
../syn/I016_O016_D003_SHORTSR-freq80retfan16,5661,727,28,0,0,27,1,1,223,1,1,29,1,0,12.500,12.500,12.500,12.967,0.686,0.561,-0.425,11.709,11.529,3.788(30%),0.098(15%),0.483(87%),9.179(70%),0.588(85%),0.078(13%)
../syn/I016_O016_D004_BITONIC-freq100retfan10000,1425,252,22,0,0,30,2,1,141,2,1,23,1,0,10.000,0.000,10.000,7.996,1.236,0.547,1.873,inf,9.376,2.343(30%),0.097(8%),0.483(89%),5.653(70%),1.139(92%),0.064(11%)
../syn/I016_O016_D004_BITONIC-freq160retfan10000,1228,920,6,0,0,26,1,1,40,1,1,7,0,1,6.250,6.250,0.000,3.519,0.562,0.312,2.600,5.605,inf,0.854(25%),0.480(86%),0.093(30%),2.665(75%),0.082(14%),0.219(70%)
../syn/I016_O016_D004_BITONIC-freq320retfan10000,1245,920,7,0,0,24,1,1,38,1,1,7,0,1,3.125,3.125,0.000,2.693,0.549,0.567,0.294,2.487,inf,0.879(33%),0.486(89%),0.096(17%),1.814(67%),0.063(11%),0.471(83%)
